"pmcid","figure","word","symbol","source","hgnc_symbol","entrez","transforms_applied"
"PMC5582648","PMC5582648__gr8.jpg","Rac","RAC","bioentities_symbol","RAC2","5880","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","Rac","RAC","bioentities_symbol","RAC3","5881","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","TNF-a","TNF-alpha","hgnc_alias_symbol","TNF","7124","-n stop"
"PMC5614756","PMC5614756__gr1.jpg","b-raf","BRAF","hgnc_symbol","BRAF","673","-n stop -n nfkc -n deburr -m expand -m root -n swaps -n alphanumeric"
"PMC5614756","PMC5614756__gr1.jpg","c-raf","c-Raf","hgnc_alias_symbol","RAF1","5894","-n stop"
"PMC5614756","PMC5614756__gr1.jpg","C-raf)--","c-Raf","hgnc_alias_symbol","RAF1","5894","-n stop -n nfkc -n deburr -m expand -m root -n swaps -n alphanumeric"
"PMC5614756","PMC5614756__gr1.jpg","(DJ-1)","DJ-1","hgnc_alias_symbol","PARK7","11315","-n stop -n nfkc -n deburr -m expand -m root -n swaps -n alphanumeric"
"PMC5614756","PMC5614756__gr1.jpg","DJ-1","DJ-1","hgnc_alias_symbol","PARK7","11315","-n stop"
"PMC5614756","PMC5614756__gr1.jpg","DUSP1)","DUSP1","hgnc_symbol","DUSP1","1843","-n stop -n nfkc -n deburr -m expand -m root -n swaps -n alphanumeric"
"PMC5614756","PMC5614756__gr1.jpg","ERK1/2","ERK1","hgnc_alias_symbol","MAPK3","5595","-n stop -n nfkc -n deburr -m expand"
"PMC5614756","PMC5614756__gr1.jpg","ERK1/2","ERK2","hgnc_alias_symbol","MAPK1","5594","-n stop -n nfkc -n deburr -m expand"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF1","2246"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF2","2247"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF3","2248"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF4","2249"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF5","2250"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF6","2251"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF7","2252"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF8","2253"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF9","2254"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF10","2255"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF11","2256"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF12","2257"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF13","2258"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF14","2259"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF20","26281"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF21","26291"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF22","27006"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF23","8074"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF18","8817"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF17","8822"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF16","8823"
"PMC5614756","PMC5614756__gr1.jpg","FGFs","","FGF","bioentities_symbol","FGF19","9965"
"PMC5614756","PMC5614756__gr1.jpg","Nurr1","NURR1","hgnc_prev_symbol","NR4A2","4929","-n stop"
"PMC5614756","PMC5614756__gr1.jpg","p53","p53","hgnc_alias_symbol","TP53","7157","-n stop"
"PMC5614756","PMC5614756__gr1.jpg","Ras","RAS","bioentities_symbol","HRAS","3265","-n stop"
"PMC5614756","PMC5614756__gr1.jpg","Ras","RAS","bioentities_symbol","KRAS","3845","-n stop"
"PMC5614756","PMC5614756__gr1.jpg","Ras","RAS","bioentities_symbol","NRAS","4893","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","end","END","hgnc_alias_symbol","ENG","2022","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","JAK/STAT","JAK","bioentities_symbol","JAK1","3716","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","JAK/STAT","JAK","bioentities_symbol","JAK2","3717","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","JAK/STAT","JAK","bioentities_symbol","JAK3","3718","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","JAK/STAT","JAK","bioentities_symbol","TYK2","7297","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","JAK/STAT","STAT","bioentities_symbol","STAT1","6772","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","JAK/STAT","STAT","bioentities_symbol","STAT2","6773","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","JAK/STAT","STAT","bioentities_symbol","STAT3","6774","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","JAK/STAT","STAT","bioentities_symbol","STAT4","6775","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","JAK/STAT","STAT","bioentities_symbol","STAT5A","6776","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","JAK/STAT","STAT","bioentities_symbol","STAT5B","6777","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","JAK/STAT","STAT","bioentities_symbol","STAT6","6778","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","MAPK","MAPK","bioentities_symbol","MAPK14","1432","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","MAPK","MAPK","bioentities_symbol","MAPK1","5594","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","MAPK","MAPK","bioentities_symbol","MAPK3","5595","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","MAPK","MAPK","bioentities_symbol","MAPK8","5599","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","MAPK","MAPK","bioentities_symbol","MAPK11","5600","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","MAPK","MAPK","bioentities_symbol","MAPK9","5601","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","MAPK","MAPK","bioentities_symbol","MAPK10","5602","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","MAPK","MAPK","bioentities_symbol","MAPK13","5603","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","MAPK","MAPK","bioentities_symbol","MAPK12","6300","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","Notch","Notch","bioentities_symbol","NOTCH1","4851","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","Notch","Notch","bioentities_symbol","NOTCH2","4853","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","Notch","Notch","bioentities_symbol","NOTCH3","4854","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","Notch","Notch","bioentities_symbol","NOTCH4","4855","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","AKT","bioentities_symbol","AKT3","10000","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","AKT","bioentities_symbol","AKT1","207","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","AKT","bioentities_symbol","AKT2","208","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PI3K","bioentities_symbol","PIK3R6","146850","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PI3K","bioentities_symbol","PIK3R5","23533","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PI3K","bioentities_symbol","PIK3R4","30849","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PI3K","bioentities_symbol","PIK3CA","5290","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PI3K","bioentities_symbol","PIK3CB","5291","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PI3K","bioentities_symbol","PIK3CD","5293","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PI3K","bioentities_symbol","PIK3CG","5294","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PI3K","bioentities_symbol","PIK3R3","8503","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PKC","bioentities_symbol","PRKD3","23683","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PKC","bioentities_symbol","PRKCA","5578","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PKC","bioentities_symbol","PRKCB","5579","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PKC","bioentities_symbol","PRKCD","5580","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PKC","bioentities_symbol","PRKCE","5581","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PKC","bioentities_symbol","PRKCG","5582","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PKC","bioentities_symbol","PRKCH","5583","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PKC","bioentities_symbol","PRKCI","5584","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PKC","bioentities_symbol","PRKCQ","5588","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","PKC/PI3K/Akt","PKC","bioentities_symbol","PRKCZ","5590","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","(RAGE)","RAGE","hgnc_alias_symbol","AGER","177","-n stop -n nfkc -n deburr -m expand -m root -n swaps -n alphanumeric"
"PMC5627515","PMC5627515__nihms907864f3.jpg","Ras","RAS","bioentities_symbol","HRAS","3265","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","Ras","RAS","bioentities_symbol","KRAS","3845","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","Ras","RAS","bioentities_symbol","NRAS","4893","-n stop"
"PMC5627515","PMC5627515__nihms907864f3.jpg","(SPARC)","SPARC","hgnc_symbol","SPARC","6678","-n stop -n nfkc -n deburr -m expand -m root -n swaps -n alphanumeric"
"PMC5627515","PMC5627515__nihms907864f3.jpg","Src/RhoA/Cdc42","CDC42","hgnc_symbol","CDC42","998","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","Src/RhoA/Cdc42","RhoA","hgnc_alias_symbol","RHOA","387","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","Src/RhoA/Cdc42","SRC","hgnc_symbol","SRC","6714","-n stop -n nfkc -n deburr -m expand"
"PMC5627515","PMC5627515__nihms907864f3.jpg","TGF-B,TGFB,bioentities_symbol,TGFB1,7040,-n stop -n nfkc -n deburr -m expand -m root -n swaps -n alphanumeric
PMC5627515,PMC5627515__nihms907864f3.jpg,TGF-B","TGFB","bioentities_symbol","TGFB2","7042","-n stop -n nfkc -n deburr -m expand -m root -n swaps -n alphanumeric"
